MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ BZN|DE-LU,Generation - Solar  [MW] Intraday / BZN|DE-LU,Generation - Solar  [MW] Current / BZN|DE-LU,Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU,Generation - Wind Offshore  [MW] Intraday / BZN|DE-LU,Generation - Wind Offshore  [MW] Current / BZN|DE-LU,Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU,Generation - Wind Onshore  [MW] Intraday / BZN|DE-LU,Generation - Wind Onshore  [MW] Current / BZN|DE-LU
03.01.2020 07:00 - 03.01.2020 07:15,0,0,,6520,6559,,26813,25150,
03.01.2020 07:15 - 03.01.2020 07:30,0,0,,6494,6542,,26924,25360,
03.01.2020 07:30 - 03.01.2020 07:45,0,0,,6463,6522,,27041,25554,
03.01.2020 07:45 - 03.01.2020 08:00,0,0,,6413,6470,,27151,25750,
03.01.2020 08:00 - 03.01.2020 08:15,11,7,,6376,6432,,27251,25949,
03.01.2020 08:15 - 03.01.2020 08:30,76,47,,6324,6377,,27350,26127,
03.01.2020 08:30 - 03.01.2020 08:45,279,198,,6265,6326,,27459,26296,
03.01.2020 08:45 - 03.01.2020 09:00,554,452,,6207,6270,,27560,26462,
03.01.2020 09:00 - 03.01.2020 09:15,901,800,,6141,6203,,27638,26596,
03.01.2020 09:15 - 03.01.2020 09:30,1307,1217,,6048,6097,,27704,26691,
03.01.2020 09:30 - 03.01.2020 09:45,1719,1693,,5953,5996,,27775,26782,
03.01.2020 09:45 - 03.01.2020 10:00,2126,2159,,5847,5889,,27842,26869,
03.01.2020 10:00 - 03.01.2020 10:15,2518,2610,,5715,5749,,27898,26931,
03.01.2020 10:15 - 03.01.2020 10:30,2893,3064,,5567,5587,,27914,26943,
03.01.2020 10:30 - 03.01.2020 10:45,3217,3489,,5416,5424,,27936,26947,
03.01.2020 10:45 - 03.01.2020 11:00,3514,3861,,5278,5269,,27963,26965,
03.01.2020 11:00 - 03.01.2020 11:15,3774,4187,,5130,5160,,27959,26959,
03.01.2020 11:15 - 03.01.2020 11:30,3984,4476,,4979,5058,,27913,26928,
03.01.2020 11:30 - 03.01.2020 11:45,4128,4675,,4815,4931,,27874,26909,
03.01.2020 11:45 - 03.01.2020 12:00,4185,4766,,4651,4805,,27829,26883,
03.01.2020 12:00 - 03.01.2020 12:15,4171,4806,,4542,4652,,27772,26875,
03.01.2020 12:15 - 03.01.2020 12:30,4114,4780,,4554,4585,,27669,26860,
03.01.2020 12:30 - 03.01.2020 12:45,3999,4665,,4563,4512,,27558,26828,
03.01.2020 12:45 - 03.01.2020 13:00,3834,4452,,4567,4431,,27440,26792,
03.01.2020 13:00 - 03.01.2020 13:15,3629,4222,,4601,4425,,27289,26706,
03.01.2020 13:15 - 03.01.2020 13:30,3384,3944,,4694,4595,,27103,26531,
03.01.2020 13:30 - 03.01.2020 13:45,3091,3627,,4787,4767,,26911,26357,
03.01.2020 13:45 - 03.01.2020 14:00,2773,3264,,4878,4937,,26728,26177,
03.01.2020 14:00 - 03.01.2020 14:15,2450,2656,,4931,5079,,26645,26324,
03.01.2020 14:15 - 03.01.2020 14:30,2127,2298,,4955,5124,,26621,26265,
03.01.2020 14:30 - 03.01.2020 14:45,1791,1937,,4980,5165,,26590,26211,
03.01.2020 14:45 - 03.01.2020 15:00,1462,1583,,5012,5214,,26555,26160,
03.01.2020 15:00 - 03.01.2020 15:15,1151,1244,,5051,5268,,26560,26180,
03.01.2020 15:15 - 03.01.2020 15:30,853,915,,5143,5385,,26607,26329,
03.01.2020 15:30 - 03.01.2020 15:45,567,601,,5232,5502,,26653,26473,
03.01.2020 15:45 - 03.01.2020 16:00,315,324,,5323,5607,,26688,26615,
03.01.2020 16:00 - 03.01.2020 16:15,137,137,,5399,5682,,26704,26693,
03.01.2020 16:15 - 03.01.2020 16:30,32,31,,5428,5640,,26614,26645,
03.01.2020 16:30 - 03.01.2020 16:45,1,1,,5457,5586,,26522,26587,
03.01.2020 16:45 - 03.01.2020 17:00,0,0,,5477,5534,,26424,26518,
03.01.2020 17:00 - 03.01.2020 17:15,0,0,,5493,5483,,26298,26447,
03.01.2020 17:15 - 03.01.2020 17:30,0,0,,5498,5461,,26168,26352,
03.01.2020 17:30 - 03.01.2020 17:45,0,0,,5505,5434,,26026,26254,
03.01.2020 17:45 - 03.01.2020 18:00,0,0,,5511,5414,,25881,26146,
03.01.2020 18:00 - 03.01.2020 18:15,0,0,,5519,5384,,25782,26059,
03.01.2020 18:15 - 03.01.2020 18:30,0,0,,5519,5417,,25681,25946,
03.01.2020 18:30 - 03.01.2020 18:45,0,0,,5519,5453,,25564,25809,
03.01.2020 18:45 - 03.01.2020 19:00,0,0,,5511,5486,,25435,25650,
03.01.2020 19:00 - 03.01.2020 19:15,0,0,,5521,5521,,25293,25478,
03.01.2020 19:15 - 03.01.2020 19:30,0,0,,5583,5586,,25063,25195,
03.01.2020 19:30 - 03.01.2020 19:45,0,0,,5661,5661,,24820,24897,
03.01.2020 19:45 - 03.01.2020 20:00,0,0,,5732,5723,,24526,24543,
03.01.2020 20:00 - 03.01.2020 20:15,0,0,,5795,5789,,24290,24210,
03.01.2020 20:15 - 03.01.2020 20:30,0,0,,5860,5834,,24101,23963,
03.01.2020 20:30 - 03.01.2020 20:45,0,0,,5925,5879,,23909,23714,
03.01.2020 20:45 - 03.01.2020 21:00,0,0,,6006,5940,,23713,23449,
03.01.2020 21:00 - 03.01.2020 21:15,0,0,,6064,5987,,23556,23220,
03.01.2020 21:15 - 03.01.2020 21:30,0,0,,6114,6038,,23539,23103,
03.01.2020 21:30 - 03.01.2020 21:45,0,0,,6163,6092,,23500,22966,
03.01.2020 21:45 - 03.01.2020 22:00,0,0,,6209,6145,,23479,22840,
03.01.2020 22:00 - 03.01.2020 22:15,0,0,,6280,6224,,23287,22566,
03.01.2020 22:15 - 03.01.2020 22:30,0,0,,6308,6256,,23383,22556,
03.01.2020 22:30 - 03.01.2020 22:45,0,0,,6348,6289,,23457,22523,
03.01.2020 22:45 - 03.01.2020 23:00,0,0,,6374,6321,,23529,22497,
03.01.2020 23:00 - 03.01.2020 23:15,0,0,,6415,6362,,23588,22451,
03.01.2020 23:15 - 03.01.2020 23:30,0,0,,6433,6389,,23655,22423,
03.01.2020 23:30 - 03.01.2020 23:45,0,0,,6449,6411,,23705,22401,
03.01.2020 23:45 - 04.01.2020 00:00,0,0,,6470,6436,,23746,22362,
04.01.2020 00:00 - 04.01.2020 00:15,0,0,,6429,6098,,23279,25571,
04.01.2020 00:15 - 04.01.2020 00:30,0,0,,6444,6117,,23153,25482,
04.01.2020 00:30 - 04.01.2020 00:45,0,0,,6458,6048,,23019,25599,
04.01.2020 00:45 - 04.01.2020 01:00,0,0,,6472,5856,,22907,25429,
04.01.2020 01:00 - 04.01.2020 01:15,0,0,,6480,5694,,22820,25168,
04.01.2020 01:15 - 04.01.2020 01:30,0,0,,6488,5717,,22784,25160,
04.01.2020 01:30 - 04.01.2020 01:45,0,0,,6490,5661,,22751,24951,
04.01.2020 01:45 - 04.01.2020 02:00,0,0,,6500,5644,,22723,24771,
